Company,Chief Executive,CEO Position,Business Enquiry,Business Contact Person,Year of Incorporation,Office Address,PostCode,City/Town,State,Country,Telephone,Fax,Email,Website,Raw Materials Used,Production Process,Products Manufactured,Miscellaneous data 1,Miscellaneous data 2,Miscellaneous data 3,,
"
Ban Seng Plastic Industries & Assembly Sdn Bhd(750117-K)",Terry Toh,Managing Director,Terry Toh,Managing Director,2006,"Lot 503, Jalan TUDM, Kampung Baru Subang, Seksyen U6",40150,Shah Alam,Selangor,Malaysia,603-7846 6866/2610/2612/12/18/20,603-7846 8166,"
terrytoh@banseng.com.my,","
www.banseng.com.my,","ISO 9001 : 2008, ISO 14001 : 2004","ABS, EVA, PA, PBTP, PC, PE, PMMA, POM, PP, PS, PVC, SAN, PES, ASA, TPE, MPR","Injection Moulding , Spray-painting, Silkscreen-painting, Pad-printing, Ultrasonic Welding","Panasonic Air-Con Plastic Accessories Parts, Bosch Power Tools Hand Drill and Accessories Parts, Pet Items, Premium Gifts Items for F & N, Dunhill, Carlsberg, B.A.T, Nestle, Petronas (Mesra) Cactus, Houseware Products, Automotive Parts,Bathroom/Toilet,Electrical and Electronics, Houseware, OEM Manufacturing, Pet Items, Transportation",None,None,,
"
Bee Lian Plastic Industries Sdn Bhd",Chua Song Han,None,None,None,1994,"63-65, Jalan Murni 6, Taman Perindustrian Murni",81400,Senai,Johor,Malaysia,607-598 7628/29,607-598 7639,"LDPE, HDPE",Film Blowing/Film Extrusion,"Plastic Bags,Films and Bags",None,None,None,None,None,,
"
Belcon Trading Sdn Bhd(575247-H)",Khor Chang Sooi,Managing Director,Khor Chang Sooi,Managing Director,2002,"4913, Jalan Kampung Baru, Teluk Gelugor, S.P.(U)",13300,Pulau Pinang,Malaysia,604-573 6288,604 - 573 6287,"
sooi9119@tm.net.my,",Recycling,Recycled Scraps,"Thailand, Hong Kong, Indonesia, Singapore",None,None,,,,,
"
Beltec Sdn Bhd(91454-W)",Kok Hon Man,Director,Thon Tein Hong,General Manager,1982,"Lorong 2B Lot 280, Jalan TUDM, Kampung Baru Subang",40150,Shah Alam,Selangor,Malaysia,603-7859 1928,603-7859 1918,"
sales@beltec.com.my,","
www.beltec.com.my,",EC,"ISO 9001, ISO 22000, FSSC","PP, PS, PET",,,,,
"
Bentraco Sdn Bhd(157114-W)",Ben Leow,Managing Director,Ben Leow,Managing Director,1986,"8, Lorong Abdul Manan Dua, Batu 5, Jalan Manan, Off Jalan Meru",41050,Klang,Selangor,Malaysia,603-3392 8729,"
bentraco@gmail.com,","ABS, EPS/XPS, PC, PMMA, PP, PS, PVC, HDPE, HIPS","Compounds, Injection Moulding, Extrusion , Recycling","Recycled and Finished Products - PVC, PC, ABS, Nylon, PMMA, PBT, PE and PP, etc","Indonesia, Hong Kong, Thailand, China",None,,,,,
"
Berjaya (Batu Pahat) Sdn Bhd(121160-M)",Ng Kim Leong,Chief Executive Officer,Ricco Ng,General Manager,1984,"Lot 1375, Batu 6, Jalan Kluang",83000,Batu Pahat,Johor,Malaysia,607-455 8770,607-455 8751,"
ricco.ng@hotmail.com,","
www.berjayabp.com.my,","SUPER LIGHT, CRANES","EVA, PVC, Rubber","Compression Moulding, Injection Moulding",,,,,
"
Berjaya Plastic Industries Sdn Bhd(34460-T)",Steven Tan Lian Hin,Chief Executive Officer,Steven Tan Lian Hin,Chief Executive Officer,1977,"170, Ayer Keroh Industrial Estate, Ayer Keroh
",75450,Melaka,"606-2328 096, 2324 144",606-2322 253,"
bpisb@pd.jaring.my,","
www.berjayaplastic.com,","ABS, PMMA, PP, PS, HIPS, Nylon
","Injection Moulding
","Toys, Stationery, Packaging Utensils, Motor Parts, Automotive Parts, Electrical and Electronic Parts, Hardware Parts
,Containers and Bottles,Containers and Bottles,Electrical and Electronics, Stationery, Toys, Games, Sports, Transportation","Europe, China, South East Asia
",None,,,,,
"
Berkilat UPV Pipes Sdn Bhd(600673-V)",Tee Eng Seng,Director,Tee Eng Seng,Director,1976,"Lot 28, SEDCO Industrial Estate, Kolombong, Kota Kinabalu",Sabah,Malaysia,"6088-426 351, 424 231",6088-422 089,"
berkilat@tm.net.my,","BERKILAT
",PVC,Pipe Extrusion,"Industrial Pipes, Industrial and Construction",None,None,,,,,
"
Best Plastic Industry Sdn Bhd(163304 K)","Tan Soon Ewe	",Chief Executive Officer,"Tan Soon Ewe	",Chief Executive Officer,1988,"2, Lengkok Rishah 2, Kawasan Perindustrian Silibin, Ipoh",30100,Perak,Malaysia,"605-526 5443	",605-526 4298/528 2472,"
bestware@myjaring.net,enquiry@bestwareplastic.com,","
www.bestwareplastic.com,",BESTWARE,"PP, PS, AS, HDPE, LDPE		",Injection Moulding,"Household Wares, Houseware",,,,,
"
A. Schulman Thermoplastic Compounds Sdn Bhd(592195-X)",Mark Lewis,Managing Director,Steven Su,Business Development Manager,2003,"PTD 43022, Jalan Murni 12, Taman Perindustrian Murni

",81400,Senai,Johor,Malaysia,607 - 599 9189,607 - 598 0291,"
sales@perrite.com.my,","
www.perrite.com; www.thevitagroup.com,","VITAMIDE, PERCOM, PERLEX, RONFALIN C, RONFALIN, PERCRYL, RONFALIN N, PERCOM H & L, RONFALIN A, RONFALIN S, PERLOX, STYRALIN, PERTAL
","ISO 9001 : 2008
","Compounds
",,,,,
"
Active Machinery Enterprise Sdn Bhd",Seow Thiam Chong,"Seow Thiam Chong, Andrea Ang",None,,1989,"24, Lorong Mak Mandin 5/3, Kawasan Perindustrian Mak Mandin

",13400,Butterworth,Pulau Pinang,Malaysia,604-331 6570,604-332 4577,"
activemachinery@live.com,activemachineryent@gmail,","
www.activemachineryent.com,","Machinery Supplier, Equipment Supplier
","Machinery Supplier: Taiwan Injection Moulding, Film Extrusion Machines, Plastics Auxillary Equipment Granulator, Hopper Dryer, Auto Loaders, Water Chiller, Machinery Supplier: Mould Temperature Controller, Mould Clamp, Magnetic Separator, Level Pad
",None,None,None,,,
"
Acumen Kinetics Sdn Bhd(541689-A)",Collin Goh,Country Manager,CK Wong,Sales Manager,2001,"2-17 & 2-18, Jalan Baru, Medan Perniagaan Pauh Jaya

",13500,Seberang Perai,Pulau Pinang,Malaysia,604-383 9650,604-383 9651,"Resins Distributor
","Resin Distributor for Exxonmobil, Dow, Sabic, Bayer, Celanse, Entec, Idemitsu, LyondellBasell, Plyplastics, Ravago, RTP, Samsung, Solvay, Teijin
",None,None,None,,,,,
"
Akros Trading Malaysia Sdn Bhd(194617-K)",Asakawa Kenji,Managing Director,None,None,1990,"Letter Box No. 20, Suite30.4,
Level 30, Menara Standard Chartered,
No. 30, Jalan Sultan Ismail


",50250,Kuala Lumpur,Wilayah Persekutuan,Malaysia,603 - 2110 2812,603 - 2110 2612,"
asakawa_kenji@akros-trading.com.my;iwai@akros-trad,","
www.akros-trading.com,","DENKA, EXXON MOBIL
","Chemicals, Machinery Supplier, Equipment Supplier, Resins

Additives, Masterbatches
Trading In Plastic Resin
Additives, Others, Resins
Machinery Supplier, Equipment Supplier
Machinery Supplier, Equipment Supplier
Additives, Stabiliser
","Thailand, Vietnam, China, Indonesia
","Supplier - Resins (GPPS, ABS, AS, MS, MBS, SBS), Japanese Injection Machines, COPO PP, PE, Electronic Materials, Chemicals, Special Element Additives, Paints & etc
",None,,,
